group,replicate,fastq_1,fastq_2
sp142,1,data/fastq/SWIFT-sp142_S42_L001_R1_001.fastq.gz,data/fastq/SWIFT-sp142_S42_L001_R2_001.fastq.gz  
sp50,1,data/fastq/SWIFT-sp50_S41_L001_R1_001.fastq.gz,data/fastq/SWIFT-sp50_S41_L001_R2_001.fastq.gz
